Brand,processor_name,RAM,Storage,Price,original price,discount,ratings,number_of_ratings,number_of_reviews,page number
MOTOROLA,Intel,16,512,62990,"₹1,04,990",40%,4.4,842,128,1
ASUS,Intel,4,512,23700,"₹26,990",12%,4.3,56,8,1
ASUS,Intel,8,512,40990,"₹50,990",19%,4.3,1246,82,1
Ultimus,Intel,4,512,14999,"₹27,990",46%,2.8,6,0,1
HP,Intel,16,512,93322,,37%,4.2,1016,45,1
Lenovo,MediaTek,4,512,16298,,37%,4.0,3048,226,1
Apple,Apple,16,512,151900,,37%,4.7,2786,179,1
Ultimus,Intel,4,128,16990,"₹27,990",39%,2.4,7,3,1
Acer,AMD,16,512,46990,"₹59,990",21%,4.2,3984,375,1
HP,Intel,16,512,82990,"₹1,33,748",37%,4.1,556,46,1
HP,AMD,16,512,65387,,37%,4.1,26,1,1
Primebook,MediaTek,8,512,24990,"₹39,990",37%,4.3,1209,357,1
Apple,Apple,16,512,151900,,37%,4.7,2786,179,1
Acer,Intel,12,512,42000,"₹48,999",14%,3.9,3874,290,1
MSI,AMD,16,512,45990,"₹66,990",31%,4.4,279,22,1
HP,Intel,16,512,86990,"₹88,474",1%,4.3,1016,59,1
Apple,Apple,16,512,127900,,37%,4.7,2786,179,1
Samsung,Intel,16,512,105990,"₹1,75,188",39%,4.8,11,1,1
ASUS,Intel,8,512,47990,"₹50,990",5%,4.3,3059,190,1
Acer,AMD,16,512,54990,"₹72,999",24%,4.1,1948,149,1
Samsung,Intel,8,512,56990,"₹78,189",27%,4.4,18987,1791,1
DELL,Intel,8,512,46990,"₹70,990",33%,4.1,68,3,1
Apple,Apple,16,512,151900,,37%,4.7,2786,179,1
MOTOROLA,Intel,16,512,62990,"₹1,04,990",40%,4.4,842,128,2
ASUS,Intel,4,512,23700,"₹26,990",12%,4.3,56,8,2
ASUS,Intel,8,512,40990,"₹50,990",19%,4.3,1246,82,2
Ultimus,Intel,4,512,14999,"₹27,990",46%,2.8,6,0,2
HP,Intel,16,512,93322,,37%,4.2,1016,45,2
Lenovo,MediaTek,4,512,16298,,37%,4.0,3048,226,2
Apple,Apple,16,512,151900,,37%,4.7,2786,179,2
Ultimus,Intel,4,128,16990,"₹27,990",39%,2.4,7,3,2
Acer,AMD,16,512,46990,"₹59,990",21%,4.2,3984,375,2
HP,Intel,16,512,82990,"₹1,33,748",37%,4.1,556,46,2
HP,AMD,16,512,65387,,37%,4.1,26,1,2
Primebook,MediaTek,8,512,24990,"₹39,990",37%,4.3,1209,357,2
Apple,Apple,16,512,151900,,37%,4.7,2786,179,2
Acer,Intel,12,512,42000,"₹48,999",14%,3.9,3874,290,2
MSI,AMD,16,512,45990,"₹66,990",31%,4.4,279,22,2
HP,Intel,16,512,86990,"₹88,474",1%,4.3,1016,59,2
Apple,Apple,16,512,127900,,37%,4.7,2786,179,2
Samsung,Intel,16,512,105990,"₹1,75,188",39%,4.8,11,1,2
ASUS,Intel,8,512,47990,"₹50,990",5%,4.3,3059,190,2
Acer,AMD,16,512,54990,"₹72,999",24%,4.1,1948,149,2
Samsung,Intel,8,512,56990,"₹78,189",27%,4.4,18987,1791,2
DELL,Intel,8,512,46990,"₹70,990",33%,4.1,68,3,2
Apple,Apple,16,512,151900,,37%,4.7,2786,179,2
MOTOROLA,Intel,16,512,62990,"₹1,04,990",40%,4.4,842,128,3
ASUS,Intel,4,512,23700,"₹26,990",12%,4.3,56,8,3
Acer,Intel,12,512,39800,"₹45,000",11%,3.9,3874,290,3
ASUS,Intel,8,512,40990,"₹50,990",19%,4.3,1246,82,3
HP,Intel,16,512,93322,,37%,4.2,1016,45,3
Ultimus,Intel,4,512,14999,"₹27,990",46%,2.8,6,0,3
Apple,Apple,16,512,151900,,37%,4.7,2786,179,3
Lenovo,MediaTek,4,512,16298,,37%,4.0,3048,226,3
Ultimus,Intel,4,128,16990,"₹27,990",39%,2.4,7,3,3
HP,Intel,16,512,82990,"₹1,33,748",37%,4.1,556,46,3
HP,AMD,16,512,65387,,37%,4.1,26,1,3
Acer,AMD,16,512,46990,"₹59,990",21%,4.2,3984,375,3
Apple,Apple,16,512,151900,,37%,4.7,2786,179,3
Primebook,MediaTek,8,512,24990,"₹39,990",37%,4.3,1209,357,3
MSI,AMD,16,512,45990,"₹66,990",31%,4.4,279,22,3
HP,Intel,16,512,86990,"₹88,474",1%,4.3,1016,59,3
Apple,Apple,16,512,127900,,37%,4.7,2786,179,3
Samsung,Intel,16,512,105990,"₹1,75,188",39%,4.8,11,1,3
ASUS,Intel,8,512,47990,"₹50,990",5%,4.3,3059,190,3
Acer,AMD,16,512,54990,"₹72,999",24%,4.1,1948,149,3
Samsung,Intel,8,512,56990,"₹78,189",27%,4.4,18987,1791,3
DELL,Intel,8,512,46990,"₹70,990",33%,4.1,68,3,3
Apple,Apple,16,512,151900,,37%,4.7,2786,179,3
MOTOROLA,Intel,16,512,62990,"₹1,04,990",40%,4.4,842,128,4
ASUS,Intel,4,512,23700,"₹26,990",12%,4.3,56,8,4
Acer,Intel,12,512,39800,"₹45,000",11%,3.9,3874,290,4
ASUS,Intel,8,512,40990,"₹50,990",19%,4.3,1246,82,4
HP,Intel,16,512,93322,,37%,4.2,1016,45,4
Ultimus,Intel,4,512,14999,"₹27,990",46%,2.8,6,0,4
Apple,Apple,16,512,151900,,37%,4.7,2786,179,4
Lenovo,MediaTek,4,512,16298,,37%,4.0,3048,226,4
Ultimus,Intel,4,128,16990,"₹27,990",39%,2.4,7,3,4
HP,Intel,16,512,82990,"₹1,33,748",37%,4.1,556,46,4
HP,AMD,16,512,65387,,37%,4.1,26,1,4
Acer,AMD,16,512,46990,"₹59,990",21%,4.2,3984,375,4
Apple,Apple,16,512,151900,,37%,4.7,2786,179,4
Primebook,MediaTek,8,512,24990,"₹39,990",37%,4.3,1209,357,4
MSI,AMD,16,512,45990,"₹66,990",31%,4.4,279,22,4
HP,Intel,16,512,86990,"₹88,474",1%,4.3,1016,59,4
Apple,Apple,16,512,127900,,37%,4.7,2786,179,4
Samsung,Intel,16,512,105990,"₹1,75,188",39%,4.8,11,1,4
ASUS,Intel,8,512,47990,"₹50,990",5%,4.3,3059,190,4
Acer,AMD,16,512,54990,"₹72,999",24%,4.1,1948,149,4
Samsung,Intel,8,512,56990,"₹78,189",27%,4.4,18987,1791,4
DELL,Intel,8,512,46990,"₹70,990",33%,4.1,68,3,4
Apple,Apple,16,512,151900,,37%,4.7,2786,179,4
MOTOROLA,Intel,16,512,62990,"₹1,04,990",40%,4.4,842,128,5
ASUS,Intel,4,512,23700,"₹26,990",12%,4.3,56,8,5
Acer,Intel,12,512,39800,"₹45,000",11%,3.9,3874,290,5
ASUS,Intel,8,512,40990,"₹50,990",19%,4.3,1246,82,5
HP,Intel,16,512,93322,,37%,4.2,1016,45,5
Ultimus,Intel,4,512,14999,"₹27,990",46%,2.8,6,0,5
Apple,Apple,16,512,151900,,37%,4.7,2786,179,5
Lenovo,MediaTek,4,512,16298,,37%,4.0,3048,226,5
Ultimus,Intel,4,128,16990,"₹27,990",39%,2.4,7,3,5
HP,Intel,16,512,82990,"₹1,33,748",37%,4.1,556,46,5
HP,AMD,16,512,65387,,37%,4.1,26,1,5
Acer,AMD,16,512,46990,"₹59,990",21%,4.2,3984,375,5
Apple,Apple,16,512,151900,,37%,4.7,2786,179,5
Primebook,MediaTek,8,512,24990,"₹39,990",37%,4.3,1209,357,5
MSI,AMD,16,512,45990,"₹66,990",31%,4.4,279,22,5
