Product Name,Price,Original Price,Discount,Ratings,Reviews,Features,Page Number
MOTOROLA Motobook 60 Pro Full Metal OLED AI PC Intel Core Ultra 5 225H - (16 GB/512 GB SSD/Windows 11 ...,"₹62,990","₹1,04,990",40% off,4.4,842 Ratings & 128 Reviews,Intel Core Ultra 5 Processor16 GB DDR5 RAM64 bit Windows 11 Operating System512 GB SSD35.56 cm (14 inch) DisplayOffice Home & Student 20241 Year Onsite Warranty,1
MOTOROLA Motobook 60 Pro Full Metal OLED AI PC Intel Core Ultra 5 225H - (16 GB/512 GB SSD/Windows 11 ...,"₹62,990","₹1,04,990",40% off,4.4,842 Ratings & 128 Reviews,Intel Core Ultra 5 Processor16 GB DDR5 RAM64 bit Windows 11 Operating System512 GB SSD35.56 cm (14 inch) DisplayOffice Home & Student 20241 Year Onsite Warranty,1
ASUS Chromebook CX15 Intel Celeron Dual Core N50 - (4 GB/128 GB EMMC Storage/Chrome OS) CX1505CTA-S702...,"₹23,700","₹26,990",12% off,4.3,56 Ratings & 8 Reviews,Intel Celeron Dual Core Processor4 GB LPDDR5 RAMChrome Operating System39.62 cm (15.6 inch) DisplayMyASUS1 Year Onsite Warranty,1
ASUS Vivobook 15 (2025) with Office 2024 + M365 Basic* Intel Core i3 13th Gen - (8 GB/512 GB SSD/Windo...,"₹40,990","₹50,990",19% off,4.3,"1,246 Ratings & 82 Reviews",Intel Core i3 Processor (13th Gen)8 GB DDR5 RAMWindows 11 Home Operating System512 GB SSD39.62 cm (15.6 Inch) DisplayMicrosoft Office Home 2024 + Microsoft 365 Basic1 Year Onsite Warranty,1
Ultimus Intel Celeron Dual Core - (4 GB/128 GB EMMC Storage/Windows 11 Home) NU14U4INC43BN-GR Laptop,"₹14,999","₹27,990",46% off,2.8,6 Ratings & 0 Reviews,Intel Celeron Dual Core Processor4 GB DDR4 RAM64 bit Windows 11 Home Operating System35.81 cm (14.1 Inch) DisplayPre Loaded Windows App1 Year Warranty and Only 6 Months Warranty on Battery and Adaptor,1
HP Victus Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeFor...,"₹93,322",,,4.2,"1,016 Ratings & 45 Reviews",Intel Core i5 Processor (13th Gen)16 GB DDR4 RAMWindows 11 Home Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Carry-in Warranty,1
Lenovo 100e Chromebook Gen 4 MediaTek Kompanio 520 - (4 GB/32 GB EMMC Storage/Chrome OS) 82W00004HA Ch...,"₹16,298",,,4,"3,048 Ratings & 226 Reviews",MediaTek Kompanio 520 Processor4 GB LPDDR4X RAMChrome Operating System29.46 cm (11.6 Inch) Display1 Year Carry-in Warranty,1
Apple MacBook Air M4 - (16 GB/1 TB SSD/macOS Sequoia) MDG34HN/A,"₹1,51,900",,,4.7,"2,786 Ratings & 179 Reviews","Apple M4 Processor16 GB Unified Memory RAMMac OS Operating System1 TB SSD38.86 cm (15.3 Inch) DisplayBuilt-in Apps: App Store, Books, Calendar, Contacts, FaceTime, Find My, Freeform, GarageBand, Home, iMovie, iPhone Mirroring, Keynote, Mail, Maps, Messages, Music, Notes, Numbers, Pages, Passwords, Photo Booth, Photos, Podcasts, Preview, QuickTime Player, Reminders, Safari, Shortcuts, Stocks, Time Machine, Tips, TV, Voice Memos, Weather1 Year Limited Warranty",1
Ultimus Apex Pro Intel Pentium Quad Core - (4 GB/128 GB SSD/128 GB EMMC Storage/Windows 11 Home) NU14U...,"₹16,990","₹27,990",39% off,2.4,7 Ratings & 3 Reviews,Intel Pentium Quad Core Processor4 GB DDR3 RAMWindows 11 Home Operating System128 GB SSD35.81 cm (14.1 inch) Display1 Year Domestic Warranty,1
Acer Aspire 15 AMD Ryzen 5 Hexa Core 7430U - (16 GB/512 GB SSD/Windows 11 Home) Aspire AS15-42 Thin an...,"₹46,990","₹59,990",21% off,4.2,"3,984 Ratings & 375 Reviews",AMD Ryzen 5 Hexa Core Processor16 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Carry-in Warranty,1
HP 14 AI PC Intel Core Ultra 7 155H - (16 GB/1 TB SSD/Windows 11 Home) 14-ep1152TU Thin and Light Lapt...,"₹82,990","₹1,33,748",37% off,4.1,556 Ratings & 46 Reviews,Intel Core Ultra 7 Processor16 GB DDR5 RAMWindows 11 Home Operating System1 TB SSD35.56 cm (14 Inch) Display1 Year Onsite Warranty,1
HP AMD Ryzen 7 Octa Core - (16 GB/512 GB SSD/Windows 11 Home) 15-fc0761AU Laptop,"₹65,387",,,4.1,26 Ratings & 1 Reviews,AMD Ryzen 7 Octa Core Processor16 GB DDR4 RAMWindows 11 Home Operating System512 GB SSD39.62 cm (15.6 inch) DisplayMS Office Home 2024 + MISC PC Game Pass DA 3M1 Year Onsite Service,1
Primebook 2 Pro (2025) in-Built AI MediaTek Helio G99 (MT8781) - (8 GB/128 GB/Android 15) PBG9914128#4...,"₹24,990","₹39,990",37% off,4.3,"1,209 Ratings & 357 Reviews",MediaTek Helio G99 (MT8781) Processor8 GB LPDDR4X RAM64 bit Android Operating System35.81 cm (14.1 Inch) Display1 Year Onsite Warranty,1
Apple MacBook Air M4 - (16 GB/1 TB SSD/macOS Sequoia) MDG94HN/A,"₹1,51,900",,,4.7,"2,786 Ratings & 179 Reviews","Apple M4 Processor16 GB Unified Memory RAMMac OS Operating System1 TB SSD38.86 cm (15.3 Inch) DisplayBuilt-in Apps: App Store, Books, Calendar, Contacts, FaceTime, Find My, Freeform, GarageBand, Home, iMovie, iPhone Mirroring, Keynote, Mail, Maps, Messages, Music, Notes, Numbers, Pages, Passwords, Photo Booth, Photos, Podcasts, Preview, QuickTime Player, Reminders, Safari, Shortcuts, Stocks, Time Machine, Tips, TV, Voice Memos, Weather1 Year Limited Warranty",1
Acer Aspire 3 Intel Pentium Quad Core N6000 - (12 GB/512 GB SSD/Windows 11 Home) A325-45 Thin and Ligh...,"₹42,000","₹48,999",14% off,3.9,"3,874 Ratings & 290 Reviews",Intel Pentium Quad Core Processor12 GB LPDDR4X RAMWindows 11 Home Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year International Travelers Warranty (ITW),1
